scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-03 14:23:57_100_0.3_10,1,2,dynamic_1,"(126.84931607263184, 37.313509118515874)",0355,184,SHUTTLE0001,95.14736808242102,294.14736808242105,184.0,319.0,True,SHUTTLE0001,524.0,-89.14736808242105,
2026-03-03 14:23:57_100_0.3_10,2,2,dynamic_2,"(126.85595412153128, 37.29141197964321)",0085,457,SHUTTLE0004,119.30878229472938,174.30878229472938,457.0,532.0,True,SHUTTLE0004,711.0,4.691217705270617,
2026-03-03 14:23:57_100_0.3_10,3,3,dynamic_3,"(126.85616789888873, 37.30437961418807)",0196,479,SHUTTLE0002,153.27863370584907,215.27863370584907,479.0,614.0,True,SHUTTLE0002,789.0,-40.278633705849074,
2026-03-03 14:23:57_100_0.3_10,4,4,dynamic_4,"(126.83452175501873, 37.29603701877243)",0403,493,SHUTTLE0003,322.2470535137742,176.24705351377418,493.0,748.0,True,SHUTTLE0003,1234.0,309.7529464862258,1.0
2026-03-03 14:23:57_100_0.3_10,5,2,dynamic_5,"(126.85212847752966, 37.29619106822978)",0114,504,SHUTTLE0006,171.07674890086952,254.07674890086952,504.0,599.0,True,SHUTTLE0006,774.0,-79.07674890086952,
2026-03-03 14:23:57_100_0.3_10,6,4,dynamic_6,"(126.86378354495358, 37.28930291390899)",0419,561,SHUTTLE0001,52.118060994708465,308.11806099470846,561.0,616.0,True,SHUTTLE0001,851.0,-73.11806099470846,
2026-03-03 14:23:57_100_0.3_10,7,2,dynamic_7,"(126.83424796536985, 37.29901148151437)",0456,586,SHUTTLE0004,225.10966914167034,71.10966914167035,586.0,826.0,True,SHUTTLE0004,881.0,-16.109669141670352,
2026-03-03 14:23:57_100_0.3_10,8,4,dynamic_8,"(126.83261221316145, 37.30893426367843)",0349,839,SHUTTLE0003,133.21470450167988,245.21470450167988,839.0,964.0,True,SHUTTLE0003,1159.0,-50.214704501679876,
2026-03-03 14:23:57_100_0.3_10,9,3,dynamic_9,"(126.83374777851031, 37.29514331077623)",0146,898,SHUTTLE0004,55.28883539724579,245.2888353972458,898.0,943.0,True,SHUTTLE0004,1138.0,-50.288835397245805,
2026-03-03 14:23:57_100_0.3_10,10,4,dynamic_10,"(126.84712982972226, 37.31670910637482)",0274,1008,SHUTTLE0001,40.34312743726091,259.34312743726093,1008.0,1073.0,True,SHUTTLE0001,1268.0,-64.34312743726093,
2026-03-03 14:23:57_100_0.3_10,11,2,dynamic_11,"(126.8385786887474, 37.29777607185504)",0274,1490,SHUTTLE0002,0.06428514352841293,117.06428514352841,1490.0,1515.0,True,SHUTTLE0002,1590.0,-42.06428514352841,
2026-03-03 14:23:57_100_0.3_10,12,1,dynamic_12,"(126.8352535886907, 37.29247798602247)",0380,1500,SHUTTLE0006,55.34615892727572,338.3461589272757,1500.0,1562.0,True,SHUTTLE0006,2416.0,515.6538410727243,3.0
2026-03-03 14:23:57_100_0.3_10,13,1,dynamic_13,"(126.8352535886907, 37.29247798602247)",0380,1514,SHUTTLE0006,27.038476781827157,338.3461589272757,1514.0,1632.0,True,SHUTTLE0006,,,2.0
2026-03-03 14:23:57_100_0.3_10,14,1,dynamic_14,"(126.8352535886907, 37.29247798602247)",0380,1537,SHUTTLE0006,1.038476781827157,339.03847678182717,1537.0,1597.0,True,SHUTTLE0006,1827.0,-109.03847678182717,
2026-03-03 14:23:57_100_0.3_10,15,2,dynamic_15,"(126.83042814302391, 37.29744153840176)",0483,1539,SHUTTLE0001,0.18549767149223748,414.18549767149227,1539.0,1564.0,True,SHUTTLE0001,2168.0,189.81450232850773,3.0
2026-03-03 14:23:57_100_0.3_10,16,4,dynamic_16,"(126.83741526821393, 37.30205651480928)",0034,1541,SHUTTLE0003,81.11732714578413,117.11732714578413,1541.0,1646.0,True,SHUTTLE0003,2130.0,366.88267285421585,1.0
2026-03-03 14:23:57_100_0.3_10,17,4,dynamic_17,"(126.83757034428712, 37.31624912233652)",0160,1543,SHUTTLE0004,72.31280350822774,295.3128035082277,1543.0,1653.0,True,SHUTTLE0004,1953.0,4.6871964917722835,1.0
2026-03-03 14:23:57_100_0.3_10,18,1,dynamic_18,"(126.8352535886907, 37.29247798602247)",0380,1594,SHUTTLE0001,75.34615892727572,338.3461589272757,1594.0,1659.0,True,SHUTTLE0001,2123.0,125.65384107272428,2.0
2026-03-03 14:23:57_100_0.3_10,19,2,dynamic_19,"(126.83593482988188, 37.31717864466108)",0007,1598,SHUTTLE0004,29.945383840273376,308.31977682381785,1598.0,1688.0,True,SHUTTLE0004,1978.0,-18.319776823817847,
2026-03-03 14:23:57_100_0.3_10,20,1,dynamic_20,"(126.8352535886907, 37.29247798602247)",0380,1621,SHUTTLE0002,99.34615892727572,338.3461589272757,1621.0,1697.0,True,SHUTTLE0002,,,4.0
2026-03-03 14:23:57_100_0.3_10,21,1,dynamic_21,"(126.8352535886907, 37.29247798602247)",0380,1626,SHUTTLE0002,100.03847678182716,338.3461589272757,1626.0,2207.0,True,SHUTTLE0002,,,3.0
2026-03-03 14:23:57_100_0.3_10,22,1,dynamic_22,"(126.8352535886907, 37.29247798602247)",0380,1629,SHUTTLE0002,100.03847678182716,339.03847678182717,1629.0,1742.0,True,SHUTTLE0002,,,2.0
