Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,18,Background,46,46,172.69565217391303,135.0,422.0,0.3510825780463243,10,10,0,1
Festival,Poisson,18,Total,56,56,166.875,135.0,422.0,0.3476362455094397,10,10,0,1
Festival,Poisson,19,Target,10,10,86.4,79.0,148.54999999999993,0.2335648148148148,10,10,0,1
Festival,Poisson,19,Background,44,43,116.76744186046511,115.0,240.99999999999994,0.27307633520608793,10,10,0,1
Festival,Poisson,19,Total,54,53,111.0377358490566,105.0,220.99999999999994,0.27530177457879806,10,10,0,1
Festival,Poisson,20,Target,10,10,157.0,136.5,311.5,0.29095541401273883,10,10,0,1
Festival,Poisson,20,Background,44,41,120.1951219512195,115.0,205.0,0.275548384542287,10,10,0,1
Festival,Poisson,20,Total,54,51,127.41176470588235,115.0,309.5,0.28654367256290025,10,10,0,1
Festival,Poisson,21,Target,10,10,148.8,149.0,226.0,0.21801075268817202,10,10,0,1
Festival,Poisson,21,Background,43,42,156.64285714285714,145.0,338.4999999999999,0.31004494821184286,10,10,0,1
Festival,Poisson,21,Total,53,52,155.1346153846154,145.0,323.4999999999999,0.2961996166719112,10,10,0,1
Festival,Poisson,22,Target,10,10,289.1,341.5,489.4,0.29896229678312003,10,10,0,1
Festival,Poisson,22,Background,53,49,191.55102040816325,155.0,416.5999999999997,0.3449601447227091,10,10,0,1
Festival,Poisson,22,Total,63,59,208.08474576271186,170.0,476.79999999999984,0.3577007025677062,10,10,0,1
Festival,Poisson,23,Target,10,10,164.4,175.5,230.29999999999998,0.20072992700729927,10,10,0,1
Festival,Poisson,23,Background,40,38,150.21052631578948,115.0,335.9999999999998,0.3556135433187032,10,10,0,1
Festival,Poisson,23,Total,50,48,153.16666666666666,127.5,313.25,0.330658324265506,10,10,0,1
Festival,Poisson,24,Target,10,10,97.6,92.5,166.49999999999997,0.2834016393442623,10,10,0,1
Festival,Poisson,24,Background,37,35,130.5142857142857,105.0,277.4,0.3281336002001501,10,10,0,1
Festival,Poisson,24,Total,47,45,123.2,105.0,270.59999999999997,0.3280102613435947,10,10,0,1
Festival,Poisson,25,Target,10,10,137.1,127.5,226.45,0.22399708242159008,10,10,0,1
Festival,Poisson,25,Background,42,40,132.2,110.0,239.2999999999997,0.33437027231467475,10,10,0,1
Festival,Poisson,25,Total,52,50,133.18,120.0,234.55,0.3145847724883616,10,10,0,1
Festival,Poisson,26,Target,10,10,164.2,142.5,286.04999999999995,0.2674786845310597,10,10,0,1
Festival,Poisson,26,Background,43,36,161.77777777777777,145.0,425.25,0.2878987332112332,10,10,0,1
Festival,Poisson,26,Total,53,46,162.30434782608697,145.0,375.0,0.2883040799450261,10,10,0,1
Festival,Poisson,27,Target,10,10,219.4,185.5,437.6999999999999,0.30082041932543296,10,10,0,1
Festival,Poisson,27,Background,38,38,158.1578947368421,135.0,370.54999999999984,0.3327261581574569,10,10,0,1
Festival,Poisson,27,Total,48,48,170.91666666666666,142.5,421.84999999999985,0.3347300097513408,10,10,0,1
Festival,Poisson,28,Target,10,10,154.6,167.5,258.79999999999995,0.3191461836998707,10,10,0,1
Festival,Poisson,28,Background,39,38,128.68421052631578,95.0,302.3999999999997,0.3936928210095792,10,10,0,1
Festival,Poisson,28,Total,49,48,134.08333333333334,105.0,268.6,0.3891586389061529,10,10,0,1
Festival,Poisson,29,Target,10,10,58.3,64.0,88.24999999999999,0.21835334476843912,10,10,0,1
Festival,Poisson,29,Background,35,28,181.14285714285714,166.0,343.74999999999994,0.3194006309148265,10,10,0,1
Festival,Poisson,29,Total,45,38,148.81578947368422,105.0,326.24999999999994,0.38131602215086785,10,10,0,1
Festival,Poisson,30,Target,10,10,125.9,100.0,254.14999999999984,0.29062748212867356,10,10,0,1
Festival,Poisson,30,Background,38,36,124.41666666666667,117.5,222.5,0.25487459998511575,10,10,0,1
Festival,Poisson,30,Total,48,46,124.73913043478261,117.5,227.5,0.26605240426144544,10,10,0,1
Festival,Poisson,31,Target,10,10,156.8,162.5,255.14999999999992,0.2343112244897959,10,10,0,1
Festival,Poisson,31,Background,46,40,141.725,110.0,311.7499999999999,0.3429132122067384,10,10,0,1
Festival,Poisson,31,Total,56,50,144.74,125.0,307.75,0.3267845792455437,10,10,0,1
