Scenario,Condition,Seed,VehicleRecords,MaxOccupancy,MeanOccupancy,LastTimestamp
Festival,Poisson,88,1023,7.0,2.0117302052785924,3599.0
Festival,Poisson,89,1253,7.0,1.794094173982442,3599.0
Festival,Poisson,90,1143,8.0,2.3972003499562553,3599.0
Festival,Poisson,91,1312,7.0,2.330030487804878,3599.0
Festival,Poisson,92,1243,7.0,2.416733708769107,3599.0
Festival,Poisson,93,1292,9.0,2.3560371517027865,3596.0
Festival,Poisson,94,1159,6.0,1.7903364969801554,3598.0
Festival,Poisson,95,1036,9.0,2.2393822393822393,3598.0
Festival,Poisson,96,993,8.0,2.2527693856998994,3598.0
Festival,Poisson,97,1135,7.0,1.7841409691629957,3599.0
Festival,Poisson,98,1011,8.0,2.2759643916913945,3598.0
Festival,Poisson,99,1047,7.0,2.3486150907354344,3590.0
Festival,Poisson,100,1300,8.0,2.226923076923077,3598.0
Festival,Synchronized,1,1304,9.0,2.4317484662576687,3593.0
Festival,Synchronized,2,1097,8.0,1.9589790337283501,3599.0
Festival,Synchronized,3,634,7.0,1.9305993690851735,3597.0
Festival,Synchronized,4,790,7.0,2.329113924050633,3593.0
Festival,Synchronized,5,1139,6.0,1.794556628621598,3595.0
Festival,Synchronized,6,1209,9.0,2.62944582299421,3597.0
Festival,Synchronized,7,1167,9.0,2.335904027420737,3594.0
Festival,Synchronized,8,860,6.0,1.8651162790697675,3593.0
Festival,Synchronized,9,1150,9.0,2.4078260869565216,3596.0
Festival,Synchronized,10,1034,8.0,2.288201160541586,3599.0
Festival,Synchronized,11,981,9.0,1.8756371049949032,3592.0
Festival,Synchronized,12,1053,8.0,1.9278252611585944,3599.0
Festival,Synchronized,13,1106,7.0,2.0587703435804703,3597.0
Festival,Synchronized,14,920,7.0,2.1858695652173914,3595.0
Festival,Synchronized,15,1182,8.0,2.436548223350254,3598.0
Festival,Synchronized,16,1233,8.0,2.121654501216545,3598.0
Festival,Synchronized,17,1161,8.0,2.404823428079242,3599.0
Festival,Synchronized,18,1254,7.0,2.2655502392344498,3596.0
Festival,Synchronized,19,1134,6.0,1.8756613756613756,3597.0
Festival,Synchronized,20,1117,8.0,1.9230080572963295,3598.0
Festival,Synchronized,21,1274,9.0,2.160910518053375,3595.0
Festival,Synchronized,22,1461,7.0,2.518822724161533,3596.0
Festival,Synchronized,23,1172,7.0,1.9146757679180888,3597.0
Festival,Synchronized,24,1126,5.0,1.6793960923623446,3599.0
Festival,Synchronized,25,1161,9.0,2.483204134366925,3523.0
Festival,Synchronized,26,1284,9.0,2.4688473520249223,3597.0
Festival,Synchronized,27,1156,9.0,2.375432525951557,3459.0
Festival,Synchronized,28,1027,9.0,2.059396299902629,3596.0
Festival,Synchronized,29,926,9.0,2.251619870410367,3598.0
Festival,Synchronized,30,1064,9.0,2.3016917293233083,3598.0
Festival,Synchronized,31,1173,9.0,2.393009377664109,3599.0
Festival,Synchronized,32,1300,9.0,2.4946153846153845,3592.0
Festival,Synchronized,33,1087,8.0,2.238270469181233,3597.0
Festival,Synchronized,34,1304,9.0,2.3627300613496933,3597.0
Festival,Synchronized,35,915,8.0,1.9934426229508198,3599.0
Festival,Synchronized,36,1292,9.0,2.3691950464396285,3598.0
Festival,Synchronized,37,1052,9.0,2.192015209125475,3598.0
Festival,Synchronized,38,1189,9.0,2.105130361648444,3597.0
Festival,Synchronized,39,1446,8.0,2.172199170124481,3596.0
Festival,Synchronized,40,1094,7.0,1.8893967093235833,3598.0
Festival,Synchronized,41,1260,9.0,2.2936507936507935,3596.0
Festival,Synchronized,42,1392,8.0,2.1594827586206895,3599.0
Festival,Synchronized,43,1080,9.0,2.1444444444444444,3595.0
Festival,Synchronized,44,1131,8.0,2.055702917771883,3597.0
Festival,Synchronized,45,1055,9.0,2.1819905213270143,3596.0
Festival,Synchronized,46,775,8.0,2.247741935483871,3599.0
Festival,Synchronized,47,947,9.0,2.078141499472017,3599.0
Festival,Synchronized,48,1290,7.0,1.9697674418604652,3599.0
Festival,Synchronized,49,1098,8.0,2.1593806921675776,3592.0
Festival,Synchronized,50,957,7.0,2.2998955067920583,3591.0
Festival,Synchronized,51,845,9.0,1.860355029585799,3598.0
Festival,Synchronized,52,1114,8.0,1.9820466786355475,3599.0
Festival,Synchronized,53,1022,6.0,1.9833659491193738,3599.0
Festival,Synchronized,54,753,8.0,1.956175298804781,3595.0
Festival,Synchronized,55,1118,8.0,2.118067978533095,3593.0
Festival,Synchronized,56,867,9.0,1.8154555940023067,3592.0
Festival,Synchronized,57,1211,8.0,1.9149463253509496,3596.0
Festival,Synchronized,58,1173,9.0,2.720375106564365,3599.0
Festival,Synchronized,59,794,9.0,2.234256926952141,3595.0
Festival,Synchronized,60,1321,7.0,2.1725965177895534,3596.0
Festival,Synchronized,61,1196,9.0,2.3729096989966556,3597.0
Festival,Synchronized,62,1062,9.0,2.35969868173258,3597.0
Festival,Synchronized,63,1146,9.0,2.1858638743455496,3599.0
Festival,Synchronized,64,996,8.0,2.566265060240964,3599.0
Festival,Synchronized,65,1087,7.0,2.262189512419503,3599.0
Festival,Synchronized,66,1119,8.0,1.9159964253798034,3591.0
Festival,Synchronized,67,988,6.0,2.0516194331983804,3593.0
Festival,Synchronized,68,1182,7.0,1.7055837563451777,3598.0
Festival,Synchronized,69,1148,9.0,2.456445993031359,3597.0
Festival,Synchronized,70,1034,9.0,2.3471953578336557,3593.0
Festival,Synchronized,71,1115,7.0,2.065470852017937,3599.0
Festival,Synchronized,72,1263,7.0,1.8155186064924782,3594.0
Festival,Synchronized,73,1107,9.0,2.091237579042457,3595.0
Festival,Synchronized,74,1242,9.0,2.5128824476650564,3598.0
Festival,Synchronized,75,822,8.0,2.0304136253041363,3595.0
Festival,Synchronized,76,851,6.0,2.09165687426557,3599.0
Festival,Synchronized,77,1104,7.0,1.923913043478261,3596.0
Festival,Synchronized,78,912,9.0,2.286184210526316,3595.0
Festival,Synchronized,79,1246,8.0,1.7295345104333868,3595.0
Festival,Synchronized,80,924,9.0,2.0833333333333335,3597.0
Festival,Synchronized,81,1210,9.0,2.1264462809917357,3598.0
Festival,Synchronized,82,1124,8.0,2.477758007117438,3591.0
Festival,Synchronized,83,1244,8.0,2.4236334405144695,3594.0
Festival,Synchronized,84,1396,9.0,2.0959885386819486,3598.0
Festival,Synchronized,85,1184,9.0,2.2567567567567566,3594.0
Festival,Synchronized,86,1131,7.0,2.2679045092838197,3599.0
Festival,Synchronized,87,1108,9.0,2.476534296028881,3593.0
Festival,Synchronized,88,1042,9.0,2.1122840690978886,3597.0
Festival,Synchronized,89,1181,7.0,2.149026248941575,3598.0
Festival,Synchronized,90,1138,9.0,2.4332161687170473,3599.0
Festival,Synchronized,91,1322,7.0,2.3479576399394855,3597.0
Festival,Synchronized,92,1252,7.0,2.4648562300319488,3594.0
Festival,Synchronized,93,1409,9.0,2.022711142654365,3598.0
Festival,Synchronized,94,1002,9.0,2.2105788423153694,3597.0
Festival,Synchronized,95,1091,6.0,2.0146654445462877,3598.0
Festival,Synchronized,96,1060,7.0,1.9264150943396225,3598.0
Festival,Synchronized,97,1090,7.0,1.771559633027523,3596.0
Festival,Synchronized,98,1014,7.0,2.326429980276134,3598.0
Festival,Synchronized,99,1087,9.0,2.145354185832567,3595.0
Festival,Synchronized,100,1349,8.0,2.167531504818384,3598.0
Festival,Uniform,1,1155,7.0,2.3064935064935064,3593.0
Festival,Uniform,2,1025,8.0,2.064390243902439,3599.0
Festival,Uniform,3,677,5.0,1.6602658788774003,3597.0
Festival,Uniform,4,906,7.0,1.9326710816777042,3597.0
Festival,Uniform,5,1146,8.0,2.450261780104712,3595.0
Festival,Uniform,6,1276,9.0,2.4788401253918497,3597.0
Festival,Uniform,7,1209,8.0,2.1546732837055416,3594.0
Festival,Uniform,8,886,6.0,1.9514672686230248,3593.0
Festival,Uniform,9,1282,8.0,2.128705148205928,3596.0
Festival,Uniform,10,965,8.0,2.483937823834197,3595.0
Festival,Uniform,11,998,8.0,1.6382765531062125,3599.0
Festival,Uniform,12,1013,8.0,1.8084896347482724,3598.0
Festival,Uniform,13,1156,7.0,2.0164359861591694,3597.0
Festival,Uniform,14,946,9.0,2.548625792811839,3598.0
Festival,Uniform,15,1197,9.0,2.3266499582289057,3598.0
Festival,Uniform,16,1227,8.0,2.328443357783211,3596.0
Festival,Uniform,17,1117,8.0,2.2820053715308863,3599.0
Festival,Uniform,18,1238,9.0,2.7140549273021,3599.0
Festival,Uniform,19,1128,7.0,2.0638297872340425,3597.0
Festival,Uniform,20,1121,6.0,1.918822479928635,3599.0
Festival,Uniform,21,1313,7.0,2.07006854531607,3598.0
Festival,Uniform,22,1584,7.0,2.191919191919192,3596.0
Festival,Uniform,23,1176,8.0,1.9523809523809523,3597.0
Festival,Uniform,24,1068,8.0,1.853932584269663,3599.0
Festival,Uniform,25,1149,8.0,2.370757180156658,3513.0
Festival,Uniform,26,1152,9.0,2.4114583333333335,3597.0
Festival,Uniform,27,1181,9.0,2.6545300592718037,3514.0
Festival,Uniform,28,1114,8.0,2.1149012567324954,3596.0
Festival,Uniform,29,833,8.0,1.8391356542617048,3598.0
Festival,Uniform,30,998,7.0,2.2545090180360723,3598.0
Festival,Uniform,31,1150,8.0,2.2886956521739132,3599.0
Festival,Uniform,32,1321,9.0,2.732021196063588,3595.0
Festival,Uniform,33,1184,7.0,2.233108108108108,3599.0
Festival,Uniform,34,1340,7.0,2.416417910447761,3599.0
Festival,Uniform,35,1017,8.0,1.856440511307768,3599.0
Festival,Uniform,36,1248,9.0,2.483173076923077,3598.0
Festival,Uniform,37,1098,9.0,2.6001821493624773,3598.0
Festival,Uniform,38,998,9.0,2.5470941883767537,3597.0
Festival,Uniform,39,1552,7.0,2.095360824742268,3597.0
Festival,Uniform,40,1054,7.0,2.3586337760910814,3598.0
Festival,Uniform,41,1300,9.0,2.477692307692308,3598.0
Festival,Uniform,42,1404,8.0,2.3789173789173788,3599.0
Festival,Uniform,43,1150,8.0,1.971304347826087,3596.0
Festival,Uniform,44,1273,8.0,2.6111547525530243,3598.0
Festival,Uniform,45,1018,8.0,2.287819253438114,3599.0
Festival,Uniform,46,847,6.0,1.6894923258559622,3599.0
Festival,Uniform,47,774,9.0,2.5025839793281652,3594.0
Festival,Uniform,48,1328,9.0,2.2853915662650603,3599.0
Festival,Uniform,49,1113,8.0,2.1823899371069184,3592.0
Festival,Uniform,50,964,9.0,2.559128630705394,3596.0
Festival,Uniform,51,788,6.0,2.0241116751269037,3598.0
Festival,Uniform,52,1033,8.0,2.1122942884801548,3599.0
Festival,Uniform,53,1048,6.0,2.049618320610687,3599.0
Festival,Uniform,54,787,8.0,1.951715374841169,3592.0
Festival,Uniform,55,1066,8.0,2.300187617260788,3593.0
Festival,Uniform,56,919,7.0,1.9140369967355821,3599.0
