scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-02 22:22:46_100_0.3_54,27,3,dynamic_27,"(126.83153696405832, 37.30929019315542)",0114,2421,SHUTTLE0005,40.18570662773012,213.18570662773013,2421.0,,2516.0,True,SHUTTLE0005,2691.0,-38.18570662773013
2026-03-02 22:22:46_100_0.3_54,28,3,dynamic_28,"(126.83399409989676, 37.29760401522097)",0456,2554,SHUTTLE0004,33.31688383237962,33.31688383237962,2554.0,,2589.0,True,SHUTTLE0004,2624.0,1.6831161676203834
2026-03-02 22:22:46_100_0.3_54,29,4,dynamic_29,"(126.82933713013215, 37.309521417587696)",0022,2612,SHUTTLE0006,136.09519616047893,89.09519616047893,2612.0,2.0,3062.0,True,SHUTTLE0006,3577.0,425.90480383952104
2026-03-02 22:22:46_100_0.3_54,30,2,dynamic_30,"(126.84188604103834, 37.29628688358319)",0055,2666,SHUTTLE0005,49.185312617090744,365.18531261709074,2666.0,,2726.0,True,SHUTTLE0005,3040.0,-51.185312617090744
2026-03-02 22:22:46_100_0.3_54,31,3,dynamic_31,"(126.8459471774432, 37.31212418795079)",0203,2707,SHUTTLE0006,127.0656399107851,84.0656399107851,2707.0,,2822.0,True,SHUTTLE0006,2957.0,50.934360089214906
2026-03-02 22:22:46_100_0.3_54,32,3,dynamic_32,"(126.85015751125592, 37.307629854308225)",0221,2740,SHUTTLE0004,240.08414353416973,17.084143534169733,2740.0,1.0,3199.0,True,SHUTTLE0004,3234.0,17.915856465830267
2026-03-02 22:22:46_100_0.3_54,33,4,dynamic_33,"(126.82620787989592, 37.31196530826339)",0226,2744,SHUTTLE0004,239.35204982487838,141.35204982487838,2744.0,,2949.0,True,SHUTTLE0004,3104.0,13.647950175121622
2026-03-02 22:22:46_100_0.3_54,34,2,dynamic_34,"(126.83121727956053, 37.30918513173967)",0349,2865,SHUTTLE0005,282.15610754158365,258.15610754158365,2865.0,1.0,3205.0,True,SHUTTLE0005,3455.0,-8.156107541583651
2026-03-02 22:22:46_100_0.3_54,35,3,dynamic_35,"(126.85246878342093, 37.29683798505269)",0031,3130,SHUTTLE0005,299.6322805008335,283.32006541766617,3130.0,1.0,3430.0,True,SHUTTLE0005,,
2026-03-02 22:22:46_100_0.3_54,36,4,dynamic_36,"(126.85180960448234, 37.29625871489477)",0061,3142,SHUTTLE0006,274.1070741435331,135.10707414353308,3142.0,,3357.0,True,SHUTTLE0006,3472.0,-20.107074143533083
2026-03-02 22:22:46_100_0.3_54,37,2,dynamic_37,"(126.85147431174043, 37.29544320934383)",0355,3235,SHUTTLE0004,164.25524802340067,171.25524802340067,3235.0,,3365.0,True,SHUTTLE0004,3470.0,-66.25524802340067
2026-03-02 22:22:46_100_0.3_54,38,3,dynamic_38,"(126.82976710872934, 37.29664331066088)",0019,3330,SHUTTLE0004,613.7076599727227,103.1971639259213,3330.0,,,,,,
2026-03-02 22:22:46_100_0.3_54,39,3,dynamic_39,"(126.83367446067093, 37.29479569141661)",0271,3379,,,,,,,False,,,
2026-03-02 22:22:46_100_0.3_54,40,4,dynamic_40,"(126.8309086448447, 37.29663422107067)",0116,3385,,,,,,,False,,,
2026-03-02 22:22:46_100_0.3_54,41,3,dynamic_41,"(126.83348892434962, 37.30844738738618)",0184,3492,SHUTTLE0005,182.33328239792047,40.33328239792047,3492.0,,,,,,
