scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-02 22:49:38_100_0.3_85,1,3,dynamic_1,"(126.85639918019871, 37.2898447205644)",0274,138,SHUTTLE0004,119.25175996017127,319.2517599601713,138.0,213.0,True,SHUTTLE0004,438.0,-94.25175996017128,
2026-03-02 22:49:38_100_0.3_85,2,2,dynamic_2,"(126.83759585003538, 37.31605686720763)",0203,201,SHUTTLE0001,71.3492118930225,0.34921189302249933,201.0,276.0,True,SHUTTLE0001,301.0,24.6507881069775,
2026-03-02 22:49:38_100_0.3_85,3,2,dynamic_3,"(126.84272053497486, 37.297620707812996)",0203,222,SHUTTLE0002,94.31246374935263,201.31246374935262,222.0,327.0,True,SHUTTLE0002,522.0,-6.312463749352617,
2026-03-02 22:49:38_100_0.3_85,4,4,dynamic_4,"(126.81762092318893, 37.31649544313985)",0334,284,SHUTTLE0003,29.264016074731558,227.26401607473156,284.0,329.0,True,SHUTTLE0003,564.0,7.735983925268442,
2026-03-02 22:49:38_100_0.3_85,5,2,dynamic_5,"(126.8252493769948, 37.31600907988028)",0166,551,SHUTTLE0005,55.22662338246676,194.22662338246676,551.0,626.0,True,SHUTTLE0005,811.0,-9.226623382466755,
2026-03-02 22:49:38_100_0.3_85,6,2,dynamic_6,"(126.85249689180061, 37.295218311657884)",0098,678,SHUTTLE0003,155.3087498314374,381.3087498314374,678.0,793.0,True,SHUTTLE0003,1138.0,-36.30874983143741,
2026-03-02 22:49:38_100_0.3_85,7,3,dynamic_7,"(126.85208317879463, 37.29687325162214)",0141,683,SHUTTLE0006,171.29240138079933,121.29240138079935,683.0,778.0,True,SHUTTLE0006,873.0,-26.292401380799348,
2026-03-02 22:49:38_100_0.3_85,8,2,dynamic_8,"(126.84254039906158, 37.29607033519336)",0478,829,SHUTTLE0005,128.2840895913999,256.2840895913999,829.0,934.0,True,SHUTTLE0005,1572.0,381.7159104086001,1.0
2026-03-02 22:49:38_100_0.3_85,9,3,dynamic_9,"(126.85870873526233, 37.31235726150309)",0203,1030,SHUTTLE0006,121.31892500815925,221.31892500815925,1030.0,1145.0,True,SHUTTLE0006,1847.0,480.6810749918408,2.0
2026-03-02 22:49:38_100_0.3_85,10,2,dynamic_10,"(126.85276583446428, 37.295049747983946)",0059,1077,SHUTTLE0005,163.40681436125422,258.4068143612542,1077.0,1222.0,True,SHUTTLE0005,1437.0,-43.40681436125419,
2026-03-02 22:49:38_100_0.3_85,11,2,dynamic_11,"(126.84233953259523, 37.2961548456618)",0398,1134,SHUTTLE0004,164.2293953366452,242.2293953366452,1134.0,1219.0,True,SHUTTLE0004,2399.0,937.7706046633548,2.0
2026-03-02 22:49:38_100_0.3_85,12,3,dynamic_12,"(126.85978799865909, 37.301630203934074)",0401,1256,SHUTTLE0006,160.06374817470754,187.06374817470754,1256.0,1401.0,True,SHUTTLE0006,1792.0,203.93625182529246,1.0
