scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-02 22:46:12_100_0.3_69,27,1,dynamic_27,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0002,0.3078097637183212,177.30780976371832,1672,3.0,1697.0,True,SHUTTLE0002,2400.0,525.6921902362817
2026-03-02 22:46:12_100_0.3_69,28,1,dynamic_28,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0002,0.9234292911549635,177.30780976371832,1672,2.0,1732.0,True,SHUTTLE0002,,
2026-03-02 22:46:12_100_0.3_69,29,2,dynamic_29,"(126.832309479851, 37.31146012830574)",0274,1741,SHUTTLE0005,467.0410812737673,274.04163498919644,1741,,2201.0,True,SHUTTLE0005,2451.0,-24.04163498919644
2026-03-02 22:46:12_100_0.3_69,30,2,dynamic_30,"(126.83183518360279, 37.30998055909675)",0203,1785,SHUTTLE0002,140.13823879135063,85.13823879135064,1785,1.0,2150.0,True,SHUTTLE0002,2245.0,9.861761208649355
2026-03-02 22:46:12_100_0.3_69,31,1,dynamic_31,"(126.83739657110384, 37.29762586758092)",0221,1803,SHUTTLE0006,212.30780976371832,308.72715700032563,1803,,1963.0,True,SHUTTLE0006,2223.0,-48.72715700032563
2026-03-02 22:46:12_100_0.3_69,32,2,dynamic_32,"(126.83441110812872, 37.29769806265765)",0116,1815,SHUTTLE0001,186.36850564163436,192.36850564163433,1815,,1990.0,True,SHUTTLE0001,2145.0,-37.36850564163433
2026-03-02 22:46:12_100_0.3_69,33,2,dynamic_33,"(126.84229639393808, 37.31857256679484)",0446,1825,SHUTTLE0002,131.17315962044725,137.17315962044722,1825,,1980.0,True,SHUTTLE0002,2115.0,-2.1731596204472226
2026-03-02 22:46:12_100_0.3_69,34,2,dynamic_34,"(126.85248825323468, 37.28394769314211)",0099,2224,SHUTTLE0003,227.28562127477537,445.28562127477534,2224,,2379.0,True,SHUTTLE0003,2744.0,-80.28562127477534
2026-03-02 22:46:12_100_0.3_69,35,2,dynamic_35,"(126.83329768446312, 37.29749169167245)",0456,2257,SHUTTLE0004,31.26198576004589,50.26198576004589,2257,,2292.0,True,SHUTTLE0004,2337.0,-5.261985760045889
2026-03-02 22:46:12_100_0.3_69,36,2,dynamic_36,"(126.8346155828565, 37.295443184450164)",0114,2355,SHUTTLE0004,55.04800996677283,68.04800996677284,2355,,2400.0,True,SHUTTLE0004,2455.0,-13.048009966772838
2026-03-02 22:46:12_100_0.3_69,37,2,dynamic_37,"(126.8337997941463, 37.294301286530256)",0019,2540,SHUTTLE0004,68.42658306511024,71.42658306511024,2540,,2595.0,True,SHUTTLE0004,2660.0,-6.426583065110236
2026-03-02 22:46:12_100_0.3_69,38,2,dynamic_38,"(126.8464029291498, 37.31665799742484)",0327,2563,SHUTTLE0001,45.189137086089104,154.1891370860891,2563,,2648.0,True,SHUTTLE0001,2843.0,40.81086291391091
2026-03-02 22:46:12_100_0.3_69,39,4,dynamic_39,"(126.86268974610572, 37.303217311724715)",0456,2859,SHUTTLE0006,111.31392602205412,299.31392602205415,2859,1.0,2934.0,True,SHUTTLE0006,3370.0,136.68607397794585
2026-03-02 22:46:12_100_0.3_69,40,3,dynamic_40,"(126.85119178070433, 37.29519658980047)",0116,2943,SHUTTLE0004,212.37986640613732,264.37986640613735,2943,2.0,3088.0,True,SHUTTLE0004,,
2026-03-02 22:46:12_100_0.3_69,41,4,dynamic_41,"(126.85129393678194, 37.296106240099284)",0105,3009,SHUTTLE0001,263.23800378769073,159.23800378769073,3009,,3214.0,True,SHUTTLE0001,3349.0,-24.23800378769073
2026-03-02 22:46:12_100_0.3_69,42,3,dynamic_42,"(126.83177193960731, 37.31004622002778)",0286,3015,SHUTTLE0006,137.1670408652284,130.1670408652284,3015,,3150.0,True,SHUTTLE0006,3285.0,4.832959134771613
2026-03-02 22:46:12_100_0.3_69,43,2,dynamic_43,"(126.81721405467458, 37.28528609484213)",0310,3041,SHUTTLE0005,197.45497363674738,338.4549736367474,3041,,3146.0,True,SHUTTLE0005,3453.0,-31.45497363674741
2026-03-02 22:46:12_100_0.3_69,44,2,dynamic_44,"(126.83961117426955, 37.296949403491745)",0271,3147,SHUTTLE0004,168.2376572808632,193.2376572808632,3147,1.0,3272.0,True,SHUTTLE0004,,
2026-03-02 22:46:12_100_0.3_69,45,2,dynamic_45,"(126.83146163202264, 37.30871752877895)",0214,3187,SHUTTLE0003,134.20179658758082,129.20179658758082,3187,2.0,3347.0,True,SHUTTLE0003,,
2026-03-02 22:46:12_100_0.3_69,46,3,dynamic_46,"(126.8314420342855, 37.31028446971881)",0345,3290,SHUTTLE0005,280.27159878610655,321.27159878610655,3290,1.0,,,,,
2026-03-02 22:46:12_100_0.3_69,47,2,dynamic_47,"(126.83059226512457, 37.308703158566345)",0366,3292,SHUTTLE0003,24.547586180359296,158.14399300519767,3292,1.0,,,,,
2026-03-02 22:46:12_100_0.3_69,48,2,dynamic_48,"(126.83182635046892, 37.312847150284426)",0375,3353,SHUTTLE0001,242.2208537489504,273.2208537489504,3353,,3558.0,True,SHUTTLE0001,,
2026-03-02 22:46:12_100_0.3_69,49,2,dynamic_49,"(126.8360813220036, 37.31710762676465)",0059,3358,SHUTTLE0003,95.26675985776406,84.26675985776404,3358,,3463.0,True,SHUTTLE0003,3578.0,30.733240142235957
2026-03-02 22:46:12_100_0.3_69,50,4,dynamic_50,"(126.83702763444232, 37.296402199423476)",0059,3368,SHUTTLE0004,141.27713138839516,228.27713138839516,3368,,3483.0,True,SHUTTLE0004,,
2026-03-02 22:46:12_100_0.3_69,51,2,dynamic_51,"(126.84428742642167, 37.31151561942872)",0375,3421,SHUTTLE0006,238.1209675975611,193.1209675975611,3421,1.0,3594.0,True,SHUTTLE0006,,
2026-03-02 22:46:12_100_0.3_69,52,4,dynamic_52,"(126.84531123856891, 37.32022663982705)",0349,3438,SHUTTLE0005,14.038384468249134,414.58158204046225,3438,,3488.0,True,SHUTTLE0005,,
2026-03-02 22:46:12_100_0.3_69,53,2,dynamic_53,"(126.82816381433788, 37.311814601070004)",0114,3443,SHUTTLE0006,341.47286038774246,537.2309251926202,3443,,,,,,
2026-03-02 22:46:12_100_0.3_69,54,2,dynamic_54,"(126.83659029120989, 37.29407682051887)",0052,3519,SHUTTLE0006,798.9150770468142,323.2112914664515,3519,,,,,,
