scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,pathChanged,arrivaltime,increased_time
2026-03-02 22:38:34_100_0.3_32,40,3,dynamic_40,"(126.86688989995484, 37.28619953503313)",0398,2287,SHUTTLE0006,372.35191430592994,389.35191430592994,2287.0,2602.0,True,SHUTTLE0006,1.0,3230.0,238.64808569407006
2026-03-02 22:38:34_100_0.3_32,41,2,dynamic_41,"(126.84798643883413, 37.302923509988545)",0306,2355,SHUTTLE0005,137.29063737783414,141.29063737783412,2355.0,2490.0,True,SHUTTLE0005,,2639.0,7.709362622165884
2026-03-02 22:38:34_100_0.3_32,42,3,dynamic_42,"(126.83247410214618, 37.30870591339533)",0324,2554,SHUTTLE0005,121.13557957210061,85.13557957210061,2554.0,2724.0,True,SHUTTLE0005,1.0,3081.0,271.8644204278994
2026-03-02 22:38:34_100_0.3_32,43,2,dynamic_43,"(126.84666450925614, 37.305781871326076)",0173,2648,SHUTTLE0003,190.11511200016747,198.11511200016747,2648.0,2813.0,True,SHUTTLE0003,,3008.0,-3.1151120001674713
2026-03-02 22:38:34_100_0.3_32,44,2,dynamic_44,"(126.84522070038169, 37.31129970975358)",0120,2667,SHUTTLE0002,219.24619352036274,333.24619352036274,2667.0,2822.0,True,SHUTTLE0002,1.0,3380.0,224.75380647963726
2026-03-02 22:38:34_100_0.3_32,45,4,dynamic_45,"(126.85583539449017, 37.28968735180352)",0044,2668,SHUTTLE0004,325.35772523786767,273.35772523786767,2668.0,2843.0,True,SHUTTLE0004,,3028.0,-88.35772523786767
2026-03-02 22:38:34_100_0.3_32,46,4,dynamic_46,"(126.83181110822059, 37.298441183870246)",0158,2746,SHUTTLE0005,183.34869811596428,92.34869811596428,2746.0,2871.0,True,SHUTTLE0005,,2936.0,-27.348698115964282
2026-03-02 22:38:34_100_0.3_32,47,2,dynamic_47,"(126.85865311712128, 37.29634027053693)",0232,2825,SHUTTLE0006,157.2151656480265,153.2151656480265,2825.0,2980.0,True,SHUTTLE0006,,3115.0,-18.2151656480265
2026-03-02 22:38:34_100_0.3_32,48,4,dynamic_48,"(126.83208775913243, 37.31086662234525)",0190,2855,SHUTTLE0002,133.18168646220542,148.18168646220542,2855.0,2980.0,True,SHUTTLE0002,,3125.0,-3.1816864622054197
2026-03-02 22:38:34_100_0.3_32,49,2,dynamic_49,"(126.81641457041589, 37.30802419976877)",0349,2905,,,,,,False,,,,
2026-03-02 22:38:34_100_0.3_32,50,4,dynamic_50,"(126.83339623617093, 37.3087191014024)",0308,2917,,,,,,False,,,,
2026-03-02 22:38:34_100_0.3_32,51,3,dynamic_51,"(126.83608985228183, 37.316480535370665)",0203,3035,SHUTTLE0004,190.20724436345492,0.20724436345492928,3035.0,3230.0,True,SHUTTLE0004,,3255.0,24.79275563654507
2026-03-02 22:38:34_100_0.3_32,52,2,dynamic_52,"(126.83640048142581, 37.30029805055757)",0059,3086,SHUTTLE0005,88.26828063292476,156.26828063292476,3086.0,3211.0,True,SHUTTLE0005,,3346.0,-21.268280632924757
2026-03-02 22:38:34_100_0.3_32,53,2,dynamic_53,"(126.83122679317988, 37.30868438971746)",0116,3374,SHUTTLE0005,13.144403483267519,26.144403483267517,3374.0,3409.0,True,SHUTTLE0005,,3484.0,48.85559651673248
2026-03-02 22:38:34_100_0.3_32,54,4,dynamic_54,"(126.83120692968426, 37.310524940957016)",0334,3520,SHUTTLE0006,24.291695493668275,183.29169549366827,3520.0,3565.0,True,SHUTTLE0006,,,
