Scenario,Condition,N_seeds,Median_TargetWaitBurdenShare,Median_TargetSuccessShare,Median_ExcessBurden,Mean_TargetWaitBurdenShare,Mean_TargetSuccessShare,Mean_ExcessBurden
Festival,Uniform,100,0.1812729905040072,0.20408163265306123,-0.024837616757280467,0.18958301196630306,0.20928812879604558,-0.019705116829742568
Festival,Poisson,100,0.18589125203333118,0.2062074829931973,-0.022520772793156424,0.19175792313613355,0.21103222936741908,-0.01927430623128554
Festival,Synchronized,100,0.26509746004604073,0.20408163265306123,0.05734900794861711,0.2851834978404044,0.2062347588921873,0.07894873894821715
Lunch,Uniform,100,0.1792324214110116,0.20833333333333334,-0.02250459363002076,0.18400404307715873,0.21073534370568175,-0.026731300628523042
Lunch,Poisson,100,0.19837621404029293,0.20833333333333334,-0.017479532676766635,0.20089863031680896,0.2102460392521907,-0.009347408935381772
Lunch,Synchronized,100,0.2718567555023573,0.20408163265306123,0.06564927250915999,0.2837923045690803,0.20841374317451483,0.07537856139456539
Holiday,Uniform,100,0.19485248919686005,0.20833333333333334,0.0013474148482859466,0.20736840587017313,0.20830975713539515,-0.0009413512652220522
Holiday,Poisson,100,0.2198021163151078,0.2062074829931973,0.012032805438116537,0.21338786782383856,0.20875774215023857,0.004630125673599995
Holiday,Synchronized,100,0.2852860420319916,0.20408163265306123,0.08105149096557629,0.2794036272605259,0.20188919031920383,0.07751443694132214
