Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Uniform,16,51,10,7071.0,1070.0,0.1513223023617593,0.19607843137254902,-0.04475612901078971
Festival,Uniform,17,48,10,5757.0,771.0,0.13392391870766024,0.20833333333333334,-0.0744094146256731
Festival,Uniform,18,54,10,9941.0,1830.0,0.1840861080374208,0.18518518518518517,-0.001099077147764388
Festival,Uniform,19,49,10,5818.0,835.0,0.14352011000343762,0.20408163265306123,-0.06056152264962361
Festival,Uniform,20,51,10,6871.0,1487.0,0.21641682433415804,0.19607843137254902,0.020338392961609025
Festival,Uniform,21,52,10,8348.0,1219.0,0.14602299952084333,0.19230769230769232,-0.04628469278684899
Festival,Uniform,22,57,7,10826.0,445.0,0.041104747829299834,0.12280701754385964,-0.08170226971455981
Festival,Uniform,23,48,10,7443.0,1735.0,0.2331049308074701,0.20833333333333334,0.024771597474136764
Festival,Uniform,24,45,10,5940.0,1174.0,0.19764309764309765,0.2222222222222222,-0.02457912457912456
Festival,Uniform,25,51,10,7591.0,1584.0,0.20866815966275853,0.19607843137254902,0.012589728290209518
Festival,Uniform,26,46,10,7154.0,1775.0,0.24811294380766005,0.21739130434782608,0.03072163945983397
Festival,Uniform,27,47,10,8704.0,2667.0,0.3064108455882353,0.2127659574468085,0.09364488814142677
Festival,Uniform,28,46,10,5965.0,1180.0,0.1978206202849958,0.21739130434782608,-0.019570684062830274
Festival,Uniform,29,37,10,5269.0,595.0,0.11292465363446574,0.2702702702702703,-0.15734561663580454
Festival,Uniform,30,46,10,5365.0,1010.0,0.18825722273998136,0.21739130434782608,-0.029134081607844725
Festival,Uniform,31,50,10,7320.0,1511.0,0.2064207650273224,0.2,0.006420765027322389
Festival,Uniform,32,50,10,9297.0,1662.0,0.17876734430461438,0.2,-0.021232655695385627
Festival,Uniform,33,51,10,7110.0,1421.0,0.19985935302390997,0.19607843137254902,0.003780921651360958
Festival,Uniform,34,50,10,7355.0,1880.0,0.2556084296397009,0.2,0.05560842963970086
Festival,Uniform,35,44,10,5773.0,1505.0,0.26069634505456435,0.22727272727272727,0.033423617781837084
Festival,Uniform,36,54,10,7931.0,2194.0,0.2766359853738494,0.18518518518518517,0.09145080018866425
Festival,Uniform,37,49,10,6228.0,1294.0,0.2077713551701991,0.20408163265306123,0.0036897225171378667
Festival,Uniform,38,47,10,5832.0,880.0,0.15089163237311384,0.2127659574468085,-0.06187432507369467
Festival,Uniform,39,60,8,10736.0,1486.0,0.1384128166915052,0.13333333333333333,0.005079483358171877
Festival,Uniform,40,43,10,6797.0,1466.0,0.21568338973076356,0.23255813953488372,-0.016874749804120154
Festival,Uniform,41,53,10,7869.0,1083.0,0.1376286694624476,0.18867924528301888,-0.05105057582057129
Festival,Uniform,42,66,10,10235.0,1970.0,0.19247679531021006,0.15151515151515152,0.04096164379505854
Festival,Uniform,43,47,10,8201.0,1284.0,0.15656627240580417,0.2127659574468085,-0.05619968504100434
Festival,Uniform,44,51,10,7526.0,1831.0,0.2432899282487377,0.19607843137254902,0.0472114968761887
Festival,Uniform,45,49,10,8329.0,805.0,0.0966502581342298,0.20408163265306123,-0.10743137451883143
Festival,Uniform,46,36,10,6680.0,2555.0,0.38248502994011974,0.2777777777777778,0.10470725216234195
Festival,Uniform,47,41,10,6082.0,1085.0,0.17839526471555409,0.24390243902439024,-0.06550717430883615
Festival,Uniform,48,60,10,11275.0,2044.0,0.1812860310421286,0.16666666666666666,0.014619364375461935
Festival,Uniform,49,47,10,6771.0,1600.0,0.23630187564613794,0.2127659574468085,0.02353591819932943
Festival,Uniform,50,47,10,5670.0,1353.0,0.23862433862433863,0.2127659574468085,0.025858381177530115
Festival,Uniform,51,39,10,4495.0,1295.0,0.28809788654060065,0.2564102564102564,0.03168763013034426
Festival,Uniform,52,42,10,5448.0,1478.0,0.2712922173274596,0.23809523809523808,0.033196979232221535
Festival,Uniform,53,44,10,6059.0,2089.0,0.3447763657369203,0.22727272727272727,0.11750363846419301
Festival,Uniform,54,37,10,4995.0,645.0,0.12912912912912913,0.2702702702702703,-0.14114114114114115
Festival,Uniform,55,46,8,5674.0,1145.0,0.20179767359887205,0.17391304347826086,0.02788463012061118
Festival,Uniform,56,40,10,4350.0,915.0,0.2103448275862069,0.25,-0.0396551724137931
Festival,Uniform,57,50,10,6729.0,730.0,0.10848565908753158,0.2,-0.09151434091246843
