Scenario,Condition,N_seeds,Mean_of_MeanWait,Median_of_MeanWait,Mean_of_P95Wait,Median_of_P95Wait,Mean_of_SuccessRate,Median_of_SuccessRate
Festival,Uniform,100,147.97889105869652,146.4390243902439,338.31649999999996,307.275,0.9298419620791418,0.9466571834992887
Festival,Poisson,100,146.56675007054818,142.9493927125506,326.02949999999987,315.52499999999964,0.9283412450699212,0.9370882740447959
Festival,Synchronized,100,143.1329873543416,141.71522597630542,316.27149999999995,289.225,0.9398587980128942,0.95
Lunch,Uniform,100,150.7743952838949,147.47413793103448,353.2659999999999,334.27499999999986,0.9198698669742655,0.9302325581395349
Lunch,Poisson,100,149.0952275754104,147.54707884288146,337.6949999999999,325.5999999999999,0.9250739023501471,0.9333333333333333
Lunch,Synchronized,100,144.10088363130225,143.43772893772893,323.4024999999999,315.32499999999993,0.9383740743416586,0.944949494949495
Holiday,Uniform,100,147.3993540402928,146.65476190476193,328.64799999999997,317.09999999999997,0.9282233855053234,0.9333333333333333
Holiday,Poisson,100,143.8753095877228,141.33739837398375,315.7774999999999,303.2,0.9295838999031983,0.9370882740447959
Holiday,Synchronized,100,142.67749738665543,141.34242181234964,310.32849999999996,291.8,0.9421788506287291,0.9518002322880371
