Scenario,Condition,Seed,PassengerID,CallTime,WaitTime,ExpectedWaitTime,IncreasedTime,Success,PassengerGroup
Festival,Poisson,2,48,3569,,318.2135528688904,,False,Background
Festival,Poisson,2,49,3583,,517.012905494565,,False,Background
Festival,Poisson,3,1,411,55.0,38.20967010510432,-34.20967010510432,True,Background
Festival,Poisson,3,2,467,105.0,159.41381496622807,9.586185033771926,True,Background
Festival,Poisson,3,3,489,75.0,71.24938219500206,-2.249382195002056,True,Background
Festival,Poisson,3,4,539,135.0,161.21032646737896,-68.21032646737893,True,Background
Festival,Poisson,3,5,724,75.0,145.25085032316557,-53.25085032316554,True,Background
Festival,Poisson,3,6,799,185.0,194.31068008083065,-43.31068008083065,True,Background
Festival,Poisson,3,7,999,95.0,111.29963005511384,-65.29963005511382,True,Background
Festival,Poisson,3,8,1182,25.0,0.1250990070382018,-14.125099007038216,True,Background
Festival,Poisson,3,9,1328,65.0,92.30209566340642,24.697904336593588,True,Background
Festival,Poisson,3,11,1514,515.0,72.22628445020857,-9.226284450208569,True,Background
Festival,Poisson,3,14,1576,175.0,129.20309453807965,24.796905461920343,True,Background
Festival,Poisson,3,15,1592,102.0,93.34186384443473,36.65813615556527,True,Background
Festival,Poisson,3,22,1722,260.0,338.95495968140733,188.6606598460293,True,Background
Festival,Poisson,3,24,2144,165.0,190.21685807353828,13.783141926461727,True,Background
Festival,Poisson,3,25,2237,55.0,28.18521502900107,46.81478497099893,True,Background
Festival,Poisson,3,26,2262,105.0,152.35285279961732,178.64714720038268,True,Background
Festival,Poisson,3,27,2489,145.0,196.03745882873903,20.96254117126096,True,Background
Festival,Poisson,3,28,2712,25.0,0.1251547062325628,-44.12515470623256,True,Background
Festival,Poisson,3,29,2935,55.0,21.08497424959963,-79.08497424959961,True,Background
Festival,Poisson,3,30,3029,185.0,178.14870945777085,-34.14870945777085,True,Background
Festival,Poisson,3,31,3269,115.0,141.23034803173962,-16.230348031739624,True,Background
Festival,Poisson,3,32,3292,115.0,131.21606011494617,,True,Background
Festival,Poisson,3,33,3366,,286.08509192350107,,False,Background
Festival,Poisson,4,1,189,125.0,109.20594793854949,-68.20594793854946,True,Background
Festival,Poisson,4,2,633,85.0,81.08571669684483,-2.085716696844827,True,Background
Festival,Poisson,4,3,758,195.0,139.3185458208145,-36.318545820814506,True,Background
Festival,Poisson,4,4,843,55.0,59.41772874666275,13.582271253337248,True,Background
Festival,Poisson,4,5,900,65.0,100.25360651799392,-111.25360651799394,True,Background
Festival,Poisson,4,6,1080,15.0,0.1790433241007004,116.82095667589932,True,Background
Festival,Poisson,4,7,1138,135.0,140.25190250111604,34.748097498883965,True,Background
Festival,Poisson,4,8,1389,65.0,51.197026177505,-15.197026177504997,True,Background
Festival,Poisson,4,10,1508,165.0,125.41168694770047,-54.411686947700446,True,Background
Festival,Poisson,4,13,1580,431.0,102.2262471438893,333.7737528561107,True,Background
Festival,Poisson,4,15,1606,115.0,76.10236384963298,-2.1023638496329795,True,Background
Festival,Poisson,4,19,1641,105.0,151.16994909847884,4.830050901521162,True,Background
Festival,Poisson,4,20,1655,247.0,334.09260653584704,-4.09260653584704,True,Background
Festival,Poisson,4,23,1782,,,,False,Background
Festival,Poisson,4,25,1877,160.0,203.5434705783535,-64.35825750665941,True,Background
Festival,Poisson,4,26,1994,55.0,57.13648012968729,-42.1364801296873,True,Background
Festival,Poisson,4,27,2049,145.0,164.2872127887222,-85.28721278872217,True,Background
Festival,Poisson,4,28,2319,75.0,123.33470338058322,440.6652966194168,True,Background
Festival,Poisson,4,29,2334,185.0,191.1269324894808,-9.126932489480724,True,Background
Festival,Poisson,4,30,2367,278.0,234.2357492690194,24.76425073098057,True,Background
Festival,Poisson,4,31,2419,115.0,120.02762291621654,40.97237708378345,True,Background
Festival,Poisson,4,32,2423,265.0,310.1550284127304,26.844971587269583,True,Background
Festival,Poisson,4,33,2533,474.0,195.2448849264853,481.75511507351473,True,Background
Festival,Poisson,4,34,2562,155.0,240.111835741386,-85.11183574138602,True,Background
Festival,Poisson,4,35,2585,360.0,271.7694597884939,-141.2979612504551,True,Background
Festival,Poisson,4,36,2669,105.0,116.1569742535013,93.84302574649872,True,Background
Festival,Poisson,4,37,2835,391.0,244.0855980755325,,True,Background
Festival,Poisson,4,38,2838,313.0,206.2168754963443,-26.38807164740922,True,Background
Festival,Poisson,4,39,2901,85.0,97.296064951601,3.703935048399003,True,Background
Festival,Poisson,4,40,2952,250.0,297.7644760146858,,True,Background
Festival,Poisson,4,41,3308,85.0,96.23440488785062,,True,Background
Festival,Poisson,4,42,3347,175.0,234.07792867656303,,True,Background
Festival,Poisson,4,43,3356,55.0,47.220024340097936,-3.220024340097936,True,Background
Festival,Poisson,5,1,111,129.0,150.19425744914852,2.805742550851462,True,Background
Festival,Poisson,5,2,215,115.0,70.58304477316219,452.8054701251349,True,Background
Festival,Poisson,5,3,263,115.0,157.2008576784403,-158.2008576784403,True,Background
Festival,Poisson,5,4,291,245.0,299.38800072992296,184.61199927007704,True,Background
Festival,Poisson,5,5,350,105.0,93.10549183804956,-39.1054918380496,True,Background
Festival,Poisson,5,6,395,95.0,148.08538312860935,-73.08538312860935,True,Background
Festival,Poisson,5,7,404,235.0,236.16531833282667,-65.16531833282667,True,Background
Festival,Poisson,5,8,532,215.0,263.0830805840623,-74.08308058406226,True,Background
Festival,Poisson,5,9,626,35.0,6.289951747277504,110.71004825272249,True,Background
Festival,Poisson,5,10,640,120.0,152.1593628989782,-65.1593628989782,True,Background
Festival,Poisson,5,11,722,65.0,42.10393845340996,24.89606154659004,True,Background
Festival,Poisson,5,12,981,115.0,141.1112471906152,-35.11124719061519,True,Background
Festival,Poisson,5,13,1046,135.0,144.0816555240382,-8.08165552403824,True,Background
Festival,Poisson,5,14,1050,135.0,202.0606004656616,-18.0606004656616,True,Background
Festival,Poisson,5,15,1345,25.0,0.2479148825974183,-53.24791488259743,True,Background
Festival,Poisson,5,16,1436,65.0,51.18505420964678,87.81494579035325,True,Background
Festival,Poisson,5,17,1492,105.0,145.25153733474318,-34.251537334743176,True,Background
Festival,Poisson,5,27,1757,245.0,274.09447103660386,374.90552896339614,True,Background
Festival,Poisson,5,29,1808,25.0,0.1864727706080331,-34.186472770608034,True,Background
