Scenario,Condition,N_target_observations,MeanWait,MedianWait,P95Wait,Gini
Festival,Uniform,991,131.95257315842582,95.0,335.0,0.39550322959786866
Festival,Poisson,1000,133.384,103.0,323.04999999999995,0.3706708600731723
Festival,Synchronized,984,226.1778455284553,194.5,550.0,0.33804352582928865
Lunch,Uniform,989,127.41354903943378,95.0,283.0,0.38590564520682014
Lunch,Poisson,992,141.57157258064515,118.0,314.44999999999993,0.3595045153917129
Lunch,Synchronized,996,223.2620481927711,200.0,478.0,0.31388209503285736
Holiday,Uniform,983,149.1881993896236,120.0,359.0,0.3859533183504238
Holiday,Poisson,989,150.6016177957533,118.0,353.7999999999997,0.36674168140661445
Holiday,Synchronized,961,222.0156087408949,215.0,421.0,0.2626019224899627
